-0.65206,-3.9865,-0.29478,0.040673
-0.62653,-4.3939,-0.33688,-0.18823
0.49844,-3.1298,-0.33825,-0.36413
2.0648,-0.76448,-0.28256,-0.48033
2.0652,0.29227,-0.14079,-0.47389
1.4984,0.54933,-0.058566,-0.45747
0.89191,0.67303,-0.008629,-0.45351
0.026384,1.4731,-0.0037087,-0.36773
-0.98867,2.7957,0.0025836,-0.28537
-1.4086,3.3151,-0.068974,-0.10582
-1.1904,2.8813,-0.13824,0.050049
0.3539,0.52047,-0.17906,0.12701
0.62161,0.3127,-0.11551,0.13884
0.36017,0.83122,-0.10233,0.16424
0.60616,1.0319,-0.10301,0.22485
0.85618,1.3927,-0.037678,0.26895
0.99397,1.82,-0.019495,0.37533
1.4568,2.2709,0.081885,0.45416
0.64885,0.82245,0.092984,0.53676
-1.4258,-2.7521,0.10913,0.51296
-1.6967,-3.4597,-0.0053113,0.35701
-0.49086,-1.8828,-0.023193,0.18076
-0.090767,-1.4462,-0.057852,0.12033
0.023026,-1.3186,-0.069966,0.05466
0.095642,-1.3015,-0.053087,0.006438
-0.052966,-1.4133,-0.042764,-0.10605
-0.23793,-1.4667,-0.049813,-0.1375
-0.34192,-1.4763,-0.11064,-0.24676
-0.11077,-0.98408,-0.048573,-0.28773
0.031967,-0.50679,-0.086901,-0.31916
0.80421,0.97843,-0.077967,-0.34177
1.3864,2.2844,-0.029221,-0.23673
0.96137,1.8799,0.072805,-0.11398
-0.024786,0.52465,0.070807,-0.056503
-0.28851,0.23805,0.045987,-0.045607
-0.24056,0.35581,0.037125,-0.065923
-0.2503,0.44676,0.03248,-0.0049343
-0.2,0.54962,0.031617,-0.0010868
-0.17772,0.51156,0.024115,0.037228
-0.12377,0.48177,0.016005,0.090958
-0.075841,0.50416,-0.010222,0.07574
0.20801,0.7096,0.017266,0.13014
-0.055079,0.17197,-0.0088863,0.12461
0.11896,0.20898,0.031796,0.13371
-0.41051,-0.81315,-0.0046874,0.16076
-0.10005,-0.51639,0.0033466,0.086469
-0.21699,-0.75662,-0.0034124,0.059452
-0.15129,-0.72729,-0.03967,0.069353
0.16797,-0.33064,-0.026947,-0.0015719
0.051191,-0.49624,-0.028843,-0.02746
0.081782,-0.42658,-0.003612,-0.031322
2.2806,-3.3404,0.076924,-0.070691
1.2638,-1.2783,0.15152,-0.20934
-1.0615,2.1838,0.15765,-0.18172
-2.1535,2.8468,0.051836,-0.043901
-2.1695,2.7791,-0.03488,0.091471
-3.1383,4.7113,-0.15995,0.25516
-2.075,2.7866,-0.32131,0.53733
1.2448,-4.2603,-0.30421,0.3917
0.11562,-3.5777,-0.29806,0.25433
-0.69723,-4.1549,-0.30035,0.018597
-0.70469,-4.6771,-0.31916,-0.15387
0.74961,-3.0756,-0.34308,-0.39634
1.6321,-1.2901,-0.29618,-0.48297
2.0093,0.024386,-0.17657,-0.51745
1.7807,0.37365,-0.089924,-0.51596
1.1858,0.42212,-0.019857,-0.48475
0.085882,1.3538,0.040529,-0.44027
-1.2119,3.0158,-0.03042,-0.32674
-1.3433,3.0105,-0.081436,-0.19832
-1.3426,2.9727,-0.13459,-0.035876
-1.0268,2.2882,-0.19923,0.10369
0.59434,-0.28503,-0.19818,0.14689
0.90285,-0.37833,-0.18541,0.13371
0.87622,0.15531,-0.12253,0.11397
0.81823,0.75695,-0.086609,0.15469
0.88585,1.3236,-0.05205,0.22799
1.043,1.786,-0.021345,0.25671
1.2355,2.1541,0.074747,0.36977
0.90693,1.8114,0.126,0.48994
-0.18654,-0.071031,0.11151,0.5119
-1.9622,-3.2859,0.075958,0.45997
-1.6093,-3.0798,-0.0084539,0.26728
-0.090481,-1.1044,-0.04378,0.18107
0.21288,-0.95212,-0.05488,0.12841
0.30336,-0.97419,-0.010252,0.071063
0.26537,-1.1194,-0.054078,-0.0020686
0.25444,-1.1329,0.0044519,-0.012947
0.078202,-1.2259,-0.042566,-0.08278
0.0034239,-1.144,0.026374,-0.16205
-0.20627,-1.2418,0.0044288,-0.22034
-0.14436,-0.89027,-0.0076898,-0.26387
0.37423,0.26731,-0.034896,-0.2707
0.72811,1.1619,0.019054,-0.25999
0.15209,0.63279,0.037793,-0.1994
-0.0075897,0.61068,0.031325,-0.17034
-0.12408,0.71668,0.057914,-0.1511
-0.2322,0.72443,0.040318,-0.081895
-0.35562,0.80129,-0.0082791,-0.088349
-0.20081,0.97322,0.016104,-0.023517
-0.17227,0.9973,-0.0055738,0.060337
-0.033736,1.0423,-0.017685,0.061763
0.11755,1.0634,-0.017199,0.13927
0.21611,0.99583,0.023288,0.20684
-0.056758,0.39604,-0.026857,0.21454
-0.13903,-0.069018,0.027048,0.21668
-0.55399,-0.95747,-0.034614,0.21936
0.037337,-0.45398,-0.01951,0.1506
-0.067942,-0.70945,-0.018926,0.17609
0.088647,-0.73681,-0.064467,0.064717
0.22771,-0.63553,-0.0055627,0.10571
2.3255,-3.4188,0.066561,-0.090058
1.2529,-1.3432,0.17164,-0.20856
-1.1633,2.3478,0.14315,-0.19231
-2.1566,2.8287,0.070488,-0.045712
-2.1816,2.7851,-0.045063,0.11084
-3.1622,4.7863,-0.17071,0.24558
-1.9458,2.5643,-0.33564,0.51233
1.214,-4.2042,-0.32475,0.42706
0.11188,-3.6181,-0.28124,0.21984
-0.66778,-4.1409,-0.30348,0.029239
-0.69922,-4.6114,-0.32776,-0.1801
0.7156,-3.1719,-0.35933,-0.39477
1.63,-1.306,-0.26885,-0.50651
2.0267,-0.048542,-0.19861,-0.52071
1.8483,0.31489,-0.060741,-0.5234
1.2322,0.31465,-0.011799,-0.49835
-0.052837,1.4747,0.013171,-0.46086
-1.3147,3.0993,-0.014118,-0.34983
-1.265,2.736,-0.082411,-0.22017
-1.2105,2.5871,-0.1305,-0.045121
-1.1003,2.4139,-0.19899,0.030525
0.62839,-0.398,-0.20376,0.11448
1.1262,-1.0014,-0.18954,0.066148
0.96551,-0.46009,-0.1071,0.036447
0.67531,0.1928,-0.087269,0.024216
0.41157,0.5305,-0.028323,0.044698
0.2803,0.83739,-0.045399,0.086312
0.25364,0.98682,-0.0086733,0.12972
0.25446,1.1813,-0.0012106,0.19152
0.36524,1.3712,0.0012124,0.25045
0.6194,1.6203,0.034248,0.30706
0.86148,1.8424,0.084667,0.42392
0.87011,1.7336,0.10782,0.4853
-0.030832,0.077957,0.15816,0.55989
-1.8643,-3.2212,0.060419,0.44804
-1.3951,-2.8397,0.035738,0.3231
-0.30719,-1.5364,-0.045334,0.21796
0.17071,-1.1345,-0.025026,0.13898
0.18654,-1.2155,-0.027882,0.073841
0.25719,-1.2371,-0.02451,0.013948
0.15291,-1.2765,0.0086081,-0.066417
-0.090605,-1.4174,-0.025855,-0.10967
-0.08339,-1.3345,-0.0077917,-0.1714
-0.14332,-1.2521,-0.0079262,-0.25781
0.03236,-0.70772,-0.046134,-0.32378
0.75825,0.83113,0.014398,-0.27518
0.24181,0.43688,-0.00063235,-0.27453
0.14141,0.61436,0.065867,-0.23738
-0.25318,0.46506,0.022163,-0.19813
-0.22079,0.75325,0.0092938,-0.19488
-0.32283,0.93922,0.0068356,-0.13585
-0.43691,1.0195,0.0019068,-0.087371
-0.35428,1.093,-0.049902,-0.033001
-0.095014,1.1855,-0.028497,0.025159
