-1.6807,-1.2387,0.71725,-0.52167,0.28525,0.11977
0.74252,2.1667,0.81142,-0.11508,0.1602,-1.4538
-1.2479,-1.2272,0.94427,-0.75469,0.36814,-1.8045
-1.4343,0.35995,-0.092721,0.30592,0.3233,-1.1503
-0.54186,-0.27317,-0.81451,-1.3037,0.33195,-1.115
0.18238,0.48218,-0.013963,-0.62979,0.55001,-1.5647
0.33418,-1.4314,-0.99111,-0.29882,-0.76006,-1.901
0.30672,0.96061,0.57407,-0.62512,-0.20755,-1.8763
-0.63496,-0.9699,0.93799,-0.38399,0.59807,-0.81383
-0.3253,-0.66954,-1.0679,-0.85334,0.13441,-1.2667
-0.8444,-2.637,-0.12112,-0.54875,-1.2587,-1.009
0.21741,-0.49141,0.81934,-1.8087,0.0045367,-0.78713
0.90122,-0.32006,0.24555,-0.16205,-0.18594,-0.48381
-1.4101,-0.35314,-0.44606,-0.61541,0.86821,-1.0524
-0.11116,-0.1659,0.46443,-1.5981,0.15908,-0.56239
-0.26259,-0.45774,0.15851,-0.31969,-0.1809,-1.2465
-2.2055,-0.35329,0.63424,-0.10764,0.016217,-0.61349
0.81314,0.07374,-1.1481,-1.3855,-0.26203,-1.6039
-0.45621,1.4533,1.0593,0.16712,-0.11352,-0.95206
-0.069415,-0.2204,0.68986,-0.66374,0.052165,-0.95817
-0.080785,0.38016,0.26346,-2.2948,0.24074,-2.1866
-0.32003,0.44053,-0.78017,-1.4073,-0.045193,-1.1041
0.35513,-0.17621,0.02359,-2.1648,-0.22525,-0.46332
-0.60824,-0.62598,-0.1488,-2.0733,-0.1523,-1.4893
-0.24109,-0.41124,0.30537,-0.41168,0.020654,-1.7428
-0.63012,-0.47426,-0.055445,-1.0357,0.29433,-0.78978
-0.39985,0.29577,0.2847,-1.3391,0.3406,-0.70447
-0.013632,0.14828,0.62725,-0.563,0.38797,-1.351
0.21922,0.21332,0.63238,-1.0544,0.068183,-1.0138
-0.30815,1.1406,-0.068526,-0.15601,0.27709,-0.93604
-0.019888,-0.15852,-0.080584,-0.27821,0.24857,-0.63353
0.51083,-0.51909,0.18067,-0.21538,0.1697,-0.81854
-1.3887,1.3665,1.7145,-0.40579,0.33574,0.095249
-0.051015,0.44422,0.57996,-0.85899,0.21334,-1.209
0.1626,0.42213,-0.2809,-0.7495,0.33027,-0.81116
-1.282,1.0991,0.337,-1.3824,0.48572,-0.85224
-0.30848,0.0021421,0.65992,-0.23631,-0.053291,-0.70512
-0.26641,-0.26431,1.4551,0.068042,-0.84022,-0.52017
-0.13187,-0.38023,0.4767,-0.6285,-0.072216,-0.83301
-0.21543,-0.60014,1.0536,-0.7812,0.79461,0.11716
-0.031677,-0.10059,1.0832,-1.9254,0.56958,-0.59604
0.97124,-0.069276,0.8591,-0.2685,0.38757,-0.49587
0.019812,-0.11482,0.62977,-1.8589,0.05797,-1.0661
0.0021872,0.10767,1.0637,-0.73036,0.73819,-1.283
0.25129,1.7522,-0.88726,-1.9474,-0.17036,-0.99798
0.29963,-0.68646,0.50843,-1.6382,0.3238,-1.6259
0.67596,1.1086,-0.28397,-2.0922,-0.21202,-0.97245
-0.33352,1.5544,0.60471,-0.26001,0.33061,-0.70693
-0.64364,-0.29195,0.99418,-0.68993,0.62825,-0.64681
-0.68453,0.078683,0.65342,-0.60829,0.338,-0.080716
-0.78979,-0.30846,0.021401,-1.2896,-1.026,0.11094
-2.2614,-3.5099,0.47935,-0.95851,0.23988,-0.55587
-0.92933,-1.3082,0.43594,-1.0193,0.22572,-0.24078
0.069984,0.42652,-1.5244,-1.8791,0.27178,-0.83168
0.9612,0.76257,0.73805,-0.88882,0.3493,-0.8218
1.1653,-0.64115,-0.28414,-0.55586,0.28164,-0.34015
0.3387,0.14727,-0.68488,-0.82436,0.24239,-1.2883
0.50492,-0.74837,-0.53396,-0.865,0.043724,-2.2357
0.0036393,-0.14669,0.73882,-0.82083,0.62598,-0.76491
0.067314,0.21625,-0.5415,-0.4545,-0.697,-1.361
-0.13348,-0.49974,0.19907,-0.31417,0.41157,-1.8031
0.046499,0.84952,0.12505,-0.042687,-0.99633,-1.7769
-0.13425,0.40098,0.34619,-0.37217,-0.19899,0.070399
-0.22689,-0.15502,0.29437,-1.2758,0.30593,-0.97816
0.85422,0.41623,0.61984,-0.25325,-0.058625,-1.8842
0.48687,0.36249,0.20159,-0.44325,-0.33451,-1.824
