-2.2327,-1.5824,-0.10179,-0.99481,-0.54822,-0.83634,0.061888
-1.6601,-3.2043,-0.00066302,-1,-0.45428,-0.89086,-2.8485
-2.5843,-2.6885,0.10342,-0.99464,-0.32145,-0.94692,-1.8216
-2.7502,-3.0259,0.26133,-0.96525,-0.16301,-0.98662,3.0471
0.13246,-7.2292,0.30022,-0.95387,0.067565,-0.99771,0.52221
0.90303,-8.0073,0.25129,-0.96791,0.44989,-0.89308,-1.269
-0.41714,-5.2618,0.26233,-0.96498,0.71081,-0.70338,0.31959
-0.69974,-3.7385,0.2813,-0.95962,0.85793,-0.51377,2.4164
0.05737,-3.1972,0.30301,-0.95299,0.93197,-0.36253,-0.84777
-0.33195,-1.4505,0.30615,-0.95198,0.97302,-0.23073,-3.3935
-1.4736,1.0024,0.34491,-0.93864,0.9684,-0.2494,1.8978
-0.6808,1.7593,0.41082,-0.91172,0.95507,-0.29638,-3.3607
-2.2399,4.9461,0.4667,-0.88442,0.89099,-0.45403,0.13286
-2.3972,6.5349,0.57561,-0.81773,0.72876,-0.68477,-0.093809
-1.634,6.2646,0.66065,-0.75069,0.4693,-0.88304,-1.6507
-0.92026,5.6998,0.71269,-0.70148,0.17581,-0.98442,-2.1263
-0.19206,4.9647,0.73274,-0.68051,-0.098667,-0.99512,-1.5158
0.67636,3.9799,0.71231,-0.70186,-0.31245,-0.94994,3.2871
2.8802,1.8254,0.6554,-0.75528,-0.46149,-0.88715,2.5254
4.8053,-1.1705,0.48609,-0.87391,-0.45863,-0.88863,-2.7721
5.0073,-3.2965,0.26915,-0.9631,-0.35786,-0.93378,0.63904
6.7647,-7.0125,-0.035074,-0.99938,-0.10905,-0.99404,2.3758
6.6505,-5.844,-0.36971,-0.92915,0.23569,-0.97183,1.5555
-0.085594,-0.13115,0.010107,-0.99995,0.0016242,-1,-1.7225
-1.2036,1.5811,0.032126,-0.99948,-0.01916,-0.99982,2.4813
0.63822,-1.2781,0.039664,-0.99921,-0.053788,-0.99855,-2.3602
-0.82271,0.88614,0.047406,-0.99888,-0.020972,-0.99978,0.76281
-0.076195,-0.27818,0.091032,-0.99585,-0.021669,-0.99977,3.4905
2.4416,-4.0543,0.010192,-0.99995,0.079451,-0.99684,-2.7553
0.33934,-0.72347,-0.051469,-0.99867,0.19209,-0.98138,-2.7367
-1.7588,2.639,-0.015875,-0.99987,0.13929,-0.99025,0.86222
-1.2408,1.9797,0.055065,-0.99848,0.039627,-0.99921,1.2547
-0.18711,0.34828,0.10393,-0.99458,-0.036024,-0.99935,-2.5371
-1.4834,2.1975,0.14622,-0.98925,-0.10196,-0.99479,3.4769
1.202,-1.898,0.13923,-0.99026,-0.10672,-0.99429,0.74298
2.0846,-3.2595,0.055443,-0.99846,0.017235,-0.99985,-0.7159
1.4762,-2.2034,-0.038257,-0.99927,0.16065,-0.98701,0.88135
1.5412,-1.9327,-0.098633,-0.99512,0.28147,-0.95957,0.85691
1.3543,-1.174,-0.17749,-0.98412,0.34399,-0.93897,3.0901
2.1022,-1.4177,-0.24734,-0.96893,0.41002,-0.91208,3.094
2.5341,-0.94777,-0.37334,-0.92769,0.46037,-0.88773,-1.3288
1.1614,1.1826,-0.46482,-0.88541,0.45584,-0.89006,-3.202
-1.0113,3.8218,-0.45927,-0.8883,0.34419,-0.9389,0.79272
-1.9373,5.3532,-0.39861,-0.91712,0.10784,-0.99417,2.2481
-1.7686,5.1719,-0.29495,-0.95551,-0.169,-0.98562,-2.0696
-3.2771,6.9206,-0.18007,-0.98365,-0.45571,-0.89013,-1.0474
-2.7832,5.1018,-0.041772,-0.99913,-0.70021,-0.71394,1.7919
-1.4058,2.4078,0.069886,-0.99755,-0.80931,-0.58738,2.2545
-0.19418,0.30898,0.12038,-0.99273,-0.86129,-0.50812,0.83903
0.44535,-1.3696,0.11505,-0.99336,-0.84522,-0.53442,-3.3859
-0.26672,-2.02,0.092508,-0.99571,-0.7795,-0.6264,-3.4786
-1.0053,-2.5542,0.12168,-0.99257,-0.71266,-0.70151,-0.69703
-0.55783,-4.0107,0.17279,-0.98496,-0.58942,-0.80783,2.938
2.0142,-7.7559,0.13713,-0.99055,-0.34035,-0.9403,1.6522
3.9148,-10.775,-0.0033605,-0.99999,0.13278,-0.99115,-1.3078
1.5633,-6.8716,-0.15651,-0.98768,0.53858,-0.84257,-0.38786
0.23131,-4.6273,-0.1999,-0.97982,0.75055,-0.66081,-1.6987
-1.0307,-2.6286,-0.17257,-0.985,0.86565,-0.50065,3.4036
-0.35904,-1.5701,-0.13892,-0.9903,0.91183,-0.41058,0.14127
-0.63165,-0.081986,-0.09858,-0.99513,0.92898,-0.37012,1.2494
-0.51547,1.237,-0.095737,-0.99541,0.90992,-0.41478,-0.77058
-1.1437,2.9891,-0.025142,-0.99968,0.86589,-0.50023,-1.2137
-2.3049,5.3435,0.046879,-0.9989,0.74256,-0.66978,-0.92322
-4.0002,8.7974,0.18992,-0.9818,0.4842,-0.87496,2.4661
-2.1222,6.4571,0.36085,-0.93262,0.0969,-0.99529,0.84168
-0.4134,4.04,0.393,-0.91954,-0.1623,-0.98674,-0.93093
0.22122,2.9084,0.39864,-0.91711,-0.34417,-0.93891,-1.1113
0.70024,1.8264,0.38286,-0.92381,-0.43116,-0.90228,-1.1262
1.0944,0.75704,0.35195,-0.93602,-0.50744,-0.86168,0.48489
2.025,-1.0615,0.28477,-0.9586,-0.49973,-0.86618,1.4757
3.6214,-3.9558,0.12409,-0.99227,-0.37258,-0.928,1.7144
5.5941,-7.5518,-0.099792,-0.99501,-0.077157,-0.99702,2.0889
5.2607,-6.2469,-0.35435,-0.93511,0.2702,-0.9628,-3.2772
2.4988,-2.2145,-0.52768,-0.84944,0.4681,-0.88367,-3.1168
0.55079,-0.015872,-0.58725,-0.80941,0.49736,-0.86754,-3.0059
-1.3186,1.9004,-0.58037,-0.81435,0.45465,-0.89067,-0.42511
-2.5613,3.7461,-0.50123,-0.86531,0.33668,-0.94162,2.1352
-2.9473,4.895,-0.37092,-0.92866,0.11158,-0.99375,-2.403
-5.5867,8.8779,-0.18679,-0.9824,-0.20672,-0.9784,2.8504
-2.9067,4.1385,0.029754,-0.99956,-0.52548,-0.85081,-1.4276
-2.623,2.5793,0.19709,-0.98039,-0.66929,-0.743,2.3948
-1.1168,0.11837,0.27343,-0.96189,-0.69989,-0.71425,0.24304
-0.45143,-1.4703,0.29691,-0.9549,-0.69193,-0.72197,-3.2589
0.06534,-0.24752,-0.0032622,-0.99999,-0.032489,-0.99947,3.4845
2.3387,-3.6427,-0.070497,-0.99751,0.076873,-0.99704,2.1063
2.8646,-3.9921,-0.17214,-0.98507,0.27923,-0.96022,2.4158
2.9209,-3.1248,-0.34348,-0.93916,0.45492,-0.89053,3.4838
3.1682,-2.0362,-0.47213,-0.88153,0.54469,-0.83864,3.4186
3.369,-0.52003,-0.60903,-0.79314,0.6262,-0.77966,-0.48655
2.3374,1.261,-0.71573,-0.69838,0.59391,-0.80453,-3.3702
0.35449,2.6338,-0.75648,-0.65402,0.5158,-0.85671,-3.4998
-1.8873,4.2241,-0.73251,-0.68076,0.35878,-0.93342,-3.4996
-4.9803,7.7769,-0.60639,-0.79517,0.072246,-0.99739,-3.4978
-9.33,14.34,-0.27325,-0.96194,-0.46593,-0.88482,-3.396
-7.3369,7.982,0.12725,-0.99187,-0.87829,-0.47813,-3.4064
-7.3465,2.6624,0.46118,-0.88731,-0.96805,-0.25074,-1.1135
-7.8469,-2.9837,0.75031,-0.66108,-0.9684,-0.24941,3.1579
-6.314,-5.9145,0.93891,-0.34417,-0.87933,-0.47622,3.0923
-3.8226,-6.1799,0.99476,-0.1022,-0.68426,-0.72924,-0.49076
-2.2882,-6.3391,0.99874,0.050246,-0.4455,-0.89528,-3.0435
-1.4086,-6.4832,0.98678,0.16207,-0.12007,-0.99277,-3.4477
-0.57855,-6.3317,0.97966,0.20065,0.18841,-0.98209,-3.4784
0.14214,-6.0047,0.98384,0.17904,0.47212,-0.88154,-3.4771
0.64211,-5.4353,0.98324,0.18234,0.70502,-0.70919,-3.4631
0.785,-4.4202,0.9862,0.16557,0.86517,-0.50149,-3.4355
0.40689,-2.6555,0.99307,0.11748,0.9389,-0.3442,-3.4375
-0.33257,-0.23204,0.9943,0.10664,0.96207,-0.27279,-3.4539
-1.0726,2.2007,0.98645,0.16405,0.94411,-0.32963,-3.4558
-1.5066,4.0014,0.98147,0.1916,0.88629,-0.46313,-3.4523
-1.4282,5.0182,0.95547,0.29509,0.74779,-0.66394,-3.4348
-1.011,5.6363,0.94036,0.34018,0.55221,-0.8337,-3.4269
-0.34747,6.195,0.92385,0.38274,0.28135,-0.9596,-3.4185
0.44349,6.6772,0.9257,0.37826,-0.017716,-0.99984,-3.419
1.2396,6.9961,0.94137,0.33737,-0.37687,-0.92627,-3.391
1.7622,6.6989,0.96894,0.24728,-0.65333,-0.75707,-3.3768
1.7024,5.3693,0.98068,0.19563,-0.85395,-0.52036,-3.3302
1.0783,3.1248,0.99514,0.098498,-0.949,-0.31528,-3.3371
0.18808,0.37438,0.9986,0.052855,-0.97105,-0.2389,-3.1695
-0.62022,-2.2662,0.99677,0.080347,-0.95763,-0.28799,-2.4724
-0.81439,-3.9625,0.99232,0.12368,-0.90779,-0.41943,-2.1339
-0.48147,-4.78,0.98653,0.1636,-0.7874,-0.61645,-2.7502
-0.11038,-5.3713,0.9863,0.16499,-0.59922,-0.80059,-3.3447
0.36004,-5.6433,0.98734,0.15863,-0.34901,-0.93712,-3.4818
0.95421,-5.6763,0.99045,0.13789,-0.085184,-0.99637,-3.4239
1.6094,-5.6982,0.99694,0.078135,0.2103,-0.97764,-3.3665
2.2871,-5.7774,0.99988,-0.01519,0.45303,-0.8915,-3.4288
2.8588,-5.8427,0.9883,-0.15253,0.69198,-0.72192,-3.4898
2.7568,-4.7136,0.95864,-0.28461,0.87224,-0.48907,-3.3705
1.7261,-1.9094,0.9127,-0.40863,0.93716,-0.3489,-3.1808
0.6476,1.1067,0.89214,-0.45176,0.94378,-0.33059,-3.147
-0.4574,4.1006,0.88863,-0.45862,0.89944,-0.43704,-3.2064
-1.2036,6.4727,0.90388,-0.42779,0.73664,-0.67629,-3.3747
-0.98251,7.0579,0.9373,-0.34852,0.47335,-0.88088,-3.4917
-0.24264,6.7988,0.93992,-0.34138,0.14507,-0.98942,-3.4819
0.57267,6.3699,0.94002,-0.34113,-0.19776,-0.98025,-3.3462
1.288,5.7635,0.91472,-0.40409,-0.46412,-0.88577,-3.0534
1.8487,4.8631,0.88354,-0.46835,-0.68962,-0.72417,-2.7683
2.1185,3.6049,0.83826,-0.54528,-0.81128,-0.58466,-2.3843
2.2174,2.043,0.77249,-0.63502,-0.90067,-0.4345,-2.0951
2.189,0.34856,0.69694,-0.71713,-0.91759,-0.39753,-1.9534
2.1311,-1.3526,0.61358,-0.78963,-0.90794,-0.4191,-1.9154
